12b,T°C,RT/R25,R2,U2,R1
217,106.79879174447265,0.05592129069671354,559.4549166675969,0.2648131403072651,10000.0
218,106.63256831178148,0.05618598300919462,562.1251892662808,0.2660093086848975,10000.000000000002
219,106.46688426118361,0.05645116793742107,564.7985906785443,0.26720600447232584,10000.0
220,106.30173959267898,0.056716845481392865,567.4751209043875,0.26840322766955016,10000.0
221,106.13713430626767,0.05698301564111002,570.1547799438104,0.2696009782765705,10000.000000000002
222,105.9730684019496,0.057249678416572525,572.8375677968127,0.2707992562933868,10000.0
223,105.80954187972482,0.05751683380778038,575.5234844633948,0.271998061719999,10000.0
224,105.6465547395933,0.0577844818147336,578.2125299435565,0.2731973945564073,10000.0
225,105.48410698155507,0.05805262243743217,580.904704237298,0.2743972548026115,10000.000000000002
226,105.32219860561011,0.058321255675876094,583.6000073446189,0.27559764245861174,10000.000000000002
227,105.1608296117584,0.05859038153006537,586.2984392655196,0.27679855752440785,10000.000000000002
228,105.0,0.05886,589.0,0.278,10000.0
229,104.83970977033488,0.059130111085680004,591.7046895480601,0.27920196988538815,10000.000000000002
230,104.679958922763,0.059400714787105346,594.4125079096998,0.2804044671805722,10000.0
231,104.52074745728441,0.05967181110427604,597.123455084919,0.28160749188555234,10000.000000000002
232,104.3620753738991,0.059943400037192104,599.8375310737181,0.2828110440003284,10000.000000000002
233,104.20394267260704,0.060215481585853506,602.5547358760966,0.28401512352490044,10000.0
234,104.04634935340829,0.06048805575026027,605.2750694920549,0.2852197304592684,10000.0
235,103.8892954163028,0.06076112253041238,607.9985319215928,0.28642486480343243,10000.0
236,103.73278086129059,0.06103468192630987,610.7251231647105,0.2876305265573924,10000.000000000002
237,103.57680568837164,0.06130873393795269,613.4548432214076,0.28883671572114833,10000.0
238,103.42136989754597,0.06158327856534087,616.1876920916845,0.2900434322947003,10000.0
239,103.2664734888136,0.06185831580847442,618.9236697755412,0.2912506762780482,10000.000000000002
240,103.11211646217447,0.06213384566735331,621.6627762729773,0.2924584476711921,10000.000000000004
241,102.95829881762864,0.06240986814197756,624.4050115839932,0.29366674647413193,10000.000000000002
242,102.80502055517606,0.06268638323234715,627.1503757085886,0.2948755726868677,10000.0
243,102.65228167481678,0.06296339093846212,629.8988686467638,0.2960849263093996,10000.000000000002
244,102.50008217655076,0.06324089126032242,632.6504903985186,0.29729480734172736,10000.000000000002
245,102.34842645324643,0.0635188531906361,635.4053265757392,0.2985052676859723,10000.000000000002
246,102.19734086211426,0.06379709068565113,638.1638908497422,0.2997166187548611,10000.000000000004
247,102.04682979602265,0.06407557273807553,640.9262688324135,0.30092891245051495,10000.000000000002
248,101.89689325497162,0.06435429934790929,643.6924605237534,0.30214214877293394,10000.000000000002
249,101.74753123896116,0.06463327051515239,646.4624659237616,0.3033563277221179,10000.000000000002
250,101.59874374799125,0.06491248623980488,649.2362850324383,0.3045714492980669,10000.000000000002
251,101.45053078206195,0.06519194652186672,652.0139178497836,0.3057875135007811,10000.000000000004
252,101.30289234117318,0.06547165136133791,654.7953643757971,0.3070045203302602,10000.000000000002
253,101.155828425325,0.06575160075821848,657.5806246104793,0.30822246978650436,10000.000000000002
254,101.00933903451738,0.0660317947125084,660.3696985538297,0.3094413618695137,10000.000000000002
255,100.86342416875033,0.06631223322420769,663.1625862058488,0.310661196579288,10000.000000000004
256,100.71808382802385,0.06659291629331633,665.9592875665361,0.31188197391582734,10000.000000000002
257,100.57331801233794,0.06687384391983434,668.759802635892,0.3131036938791318,10000.000000000002
258,100.42912672169261,0.06715501610376172,671.5641314139165,0.3143263564692013,10000.000000000004
259,100.28550995608782,0.06743643284509845,674.3722739006091,0.31554996168603583,10000.0
260,100.14246771552362,0.06771809414384455,677.1842300959704,0.31677450952963543,10000.000000000004
261,100.0,0.068,680.0,0.318,10000.0
262,99.85810680951693,0.06828215041356482,682.8195836126981,0.3192264330971297,10000.000000000002
263,99.71678814407444,0.068564545384539,685.6429809340648,0.3204538088210245,10000.000000000002
264,99.57604400367254,0.06884718491292256,688.4701919641,0.3216821271716843,10000.000000000004
265,99.43587438831119,0.06913006899871546,691.3012167028033,0.3229113881491092,10000.000000000002
266,99.2962792979904,0.06941319764191772,694.1360551501753,0.3241415917532991,10000.0
267,99.15725873271019,0.06969657084252937,696.9747073062158,0.32537273798425415,10000.000000000002
268,99.01881269247053,0.06998018860055034,699.8171731709244,0.3266048268419741,10000.0
269,98.88094117727145,0.07026405091598069,702.6634527443018,0.3278378583264592,10000.0
270,98.74364418711295,0.0705481577888204,705.5135460263475,0.3290718324377093,10000.0
271,98.60692172199502,0.0708325092190695,708.3674530170618,0.33030674917572456,10000.000000000002
272,98.47077378191766,0.07111710520672793,711.2251737164445,0.33154260854050477,10000.000000000002
273,98.33520036688085,0.07140194575179573,714.0867081244957,0.3327794105320502,10000.000000000002
274,98.20020147688462,0.07168703085427289,716.9520562412151,0.33401715515036046,10000.0
275,98.06577711192898,0.07197236051415941,719.8212180666031,0.3352558423954359,10000.0
276,97.9319272720139,0.0722579347314553,722.6941936006596,0.3364954722672764,10000.0
277,97.79865195713938,0.07254375350616055,725.5709828433846,0.3377360447658819,10000.0
278,97.66595116730542,0.07282981683827516,728.4515857947779,0.33897755989125244,10000.0
279,97.53382490251204,0.07311612472779913,731.3360024548397,0.34022001764338816,10000.0
280,97.40227316275923,0.07340267717473246,734.22423282357,0.34146341802228886,10000.0
281,97.27126284592742,0.07368935329382795,737.1139909882916,0.34270702107142614,10000.000000000002
282,97.14076084989706,0.07397603219983837,740.0029910363272,0.3439500868342717,10000.0
283,97.01076717466812,0.0742627138927637,742.8912329676772,0.3451926153108254,10000.0
284,96.88128182024062,0.07454939837260398,745.7787167823412,0.34643460650108737,10000.000000000002
285,96.75230478661453,0.07483608563935919,748.6654424803194,0.3476760604050574,10000.0
286,96.6238360737899,0.07512277569302933,751.5514100616118,0.3489169770227358,10000.0
287,96.49587568176669,0.0754094685336144,754.4366195262182,0.35015735635412226,10000.0
288,96.36842361054492,0.07569616416111444,757.321070874139,0.35139719839921707,10000.000000000002
289,96.24147986012457,0.07598286257552934,760.2047641053737,0.3526365031580199,10000.0
290,96.11504443050566,0.07626956377685921,763.0876992199226,0.35387527063053104,10000.0
291,95.9891173216882,0.07655626776510402,765.9698762177857,0.35511350081675036,10000.0
292,95.86369853367216,0.07684297454026377,768.851295098963,0.35635119371667784,10000.000000000002
293,95.73878806645754,0.07712968410233842,771.7319558634543,0.3575883493303136,9999.999999999998
294,95.61438592004437,0.07741639645132803,774.61185851126,0.3588249676576575,10000.0
295,95.49049209443265,0.07770311158723257,777.4910030423797,0.36006104869870964,10000.0
296,95.36710658962232,0.07798982951005201,780.3693894568135,0.36129659245346984,9999.999999999998
297,95.24422940561345,0.0782765502197864,783.2470177545614,0.36253159892193837,10000.0
298,95.12186054240601,0.07856327371643573,786.1238879356237,0.36376606810411516,10000.0
299,95.0,0.07885,789.0,0.365,10000.0
300,94.87864777839542,0.07913672907047918,791.8753539476902,0.36623339460959303,9999.999999999998
301,94.7578038775923,0.07942346092787332,794.749949778695,0.3674662519328945,10000.0
302,94.63746829759057,0.07971019557218237,797.6237874930138,0.3686985719699039,10000.0
303,94.51764103839031,0.07999693300340636,800.4968670906467,0.36993035472062163,10000.0
304,94.39832209999147,0.08028367322154528,803.3691885715938,0.3711616001850476,10000.0
305,94.27951148239407,0.08057041622659913,806.2407519358551,0.3723923083631817,10000.0
306,94.16120918559808,0.08085716201856792,809.1115571834303,0.373622479255024,10000.0
307,94.04341520960355,0.08114391059745164,811.9816043143198,0.3748521128605745,10000.0
308,93.92612955441044,0.08143066196325029,814.8508933285236,0.3760812091798332,10000.0
309,93.80935222001877,0.08171741611596388,817.7194242260414,0.3773097682128001,10000.0
310,93.69308320642853,0.08200417305559238,820.5871970068732,0.37853778995947507,9999.999999999998
311,93.57732251363971,0.08229093278213583,823.4542116710195,0.3797652744198584,10000.0
312,93.46207014165235,0.08257769529559421,826.3204682184796,0.38099222159394996,10000.0
313,93.3473260904664,0.08286446059596751,829.1859666492542,0.38221863148174967,10000.0
314,93.23309036008192,0.08315122868325577,832.0507069633429,0.3834445040832576,10000.0
